Person_ID,Savings Rate (%),Total Expenditure,Expense-to-Income Ratio (%,Non-Essential Spending Share (%),Potential Saving Opportunity,Essential Spending,Discretionary Spending,,,,,,,,,,,,,,,,,,,,,,,,,
PID_00001,13.89%,"₹33,371.62",74.76%,7.14%,"₹3,507.22","₹29,352.11","₹4,019.51",,,,,,,,,,,,,,,,,,,,,,,,,"₹4,019.51"
PID_00002,7.16%,"₹17,181.78",63.97%,6.33%,"₹1,482.62","₹14,917.92","₹2,263.85",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00003,14.00%,"₹36,476.15",72.42%,6.43%,"₹3,551.32","₹32,610.66","₹3,865.49",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00004,16.46%,"₹69,837.65",68.84%,7.79%,"₹6,078.52","₹59,413.15","₹10,424.50",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00005,7.53%,"₹18,609.58",74.81%,5.44%,"₹1,511.36","₹16,741.06","₹1,868.52",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00006,5.94%,"₹17,276.34",69.45%,7.24%,"₹1,994.53","₹15,074.04","₹2,202.30",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00007,17.34%,"₹64,524.37",60.80%,6.61%,"₹6,051.52","₹54,729.92","₹9,794.45",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00008,11.97%,"₹46,965.40",84.73%,5.34%,"₹3,325.54","₹43,153.76","₹3,811.64",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00009,6.30%,"₹20,243.82",98.24%,5.37%,"₹1,622.32","₹18,691.45","₹1,552.36",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00010,12.13%,"₹30,614.53",66.12%,6.60%,"₹3,200.89","₹26,638.08","₹3,976.46",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00011,8.35%,"₹12,648.25",61.08%,5.97%,"₹1,540.66","₹11,001.52","₹1,646.73",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00012,8.25%,"₹14,548.95",70.39%,7.36%,"₹1,462.30","₹12,543.10","₹2,005.84",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00013,7.53%,"₹31,816.76",87.39%,5.91%,"₹1,707.89","₹29,094.79","₹2,721.97",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00014,7.15%,"₹4,611.09",71.03%,8.30%,₹459.36,"₹3,892.94",₹718.15,,,,,,,,,,,,,,,,,,,,,,,,,
PID_00015,5.46%,"₹5,386.40",71.36%,7.21%,₹615.47,"₹4,709.01",₹677.39,,,,,,,,,,,,,,,,,,,,,,,,,
PID_00016,8.02%,"₹15,927.74",83.25%,6.91%,"₹1,207.50","₹14,143.74","₹1,784.01",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00017,8.14%,"₹12,243.92",91.77%,7.15%,"₹1,374.64","₹11,003.69","₹1,240.23",,,,,,,,,,,,,,,,,,,,,,,,,
PID_00018,6.91%,"₹27,962.07",72.49%,7.96%,"₹2,059.69","₹24,047.98","₹3,914.09",,,,,,,,,,,,,,,,,,,,,,,,,
